lagtime	wtd_avg_RRD_p|antQ0.0221-0.1	wtd_avg_RRD_p|antQ0.1-0.2	wtd_avg_RRD_p|antQ0.2-0.4	wtd_avg_RRD_p|antQ0.4-2.86	se_p|antQ0.0221-0.1	se_p|antQ0.1-0.2	se_p|antQ0.2-0.4	se_p|antQ0.4-2.86
111	-0.00134681043569521	0.000531645236832529	0.00154460897789202	0.00155493558561966	0.000233324594645737	0.000192137810421334	0.0001951222407957	0.000225531262888861
112	-0.00139245575082216	0.000522189762440365	0.00157385940454296	0.0017008985912938	0.000233325261158042	0.000192218969994952	0.000195106148311354	0.000225375308566165
113	-0.00139034881350542	0.000601110584826681	0.00155366254818409	0.00173312118198928	0.000233300236845886	0.000192328894368943	0.000195072494681922	0.000225239927502102
114	-0.00144791641726795	0.000641614564352653	0.00161160542856875	0.00161948401674964	0.00023317540216389	0.000192471260465263	0.00019506842548988	0.000225128680149128
115	-0.00155785740913202	0.000674842862261553	0.00164859630997051	0.00170641435653962	0.000233022579517956	0.00019265374575825	0.000195082417820978	0.000225030006063484
116	-0.00163735525124612	0.000752297533011999	0.00183028458751512	0.00176723896373102	0.000232895436758078	0.000192867687647731	0.000195084001311252	0.000224806060748744
117	-0.00168675489392545	0.00066074481519009	0.00187707040927247	0.00183028335377591	0.000232812019309361	0.000193067048922457	0.000195075567272969	0.000224524367092123
118	-0.00158511916242489	0.000674710771062228	0.00186201786133528	0.0020001255364908	0.000232778978023728	0.000193256623513497	0.000195061266603975	0.000224323721978771
119	-0.00149400714056084	0.000695290411449114	0.00184754107413223	0.00200485196146742	0.000232755800961102	0.000193431425023945	0.000195016888736775	0.000224161050807223
120	-0.00144770133354818	0.000675496124285796	0.00175719171320784	0.00191674900059765	0.000232721951279621	0.000193587096541672	0.000194980196180801	0.000224018125485335
121	-0.00140877056869537	0.00067407460781573	0.00182394366156485	0.00167848600117847	0.000232642781385899	0.000193707306234111	0.000194955243939243	0.000223932981259888
122	-0.00145839547668521	0.000631030528291581	0.00197669296127345	0.00166735335105803	0.000232536188968738	0.000193797301517536	0.000194932954026294	0.000223892721567127
123	-0.00154205659673158	0.000458036182197256	0.00209284788284842	0.00193361763151755	0.000232436896159754	0.000193877841615497	0.000194888290817668	0.000223869963114055
124	-0.00146640270343535	0.000323519750696486	0.00198840431486168	0.00197500361730153	0.00023232477115905	0.000193946303822868	0.000194819938537563	0.000223764868690507
125	-0.00139683053722061	0.000313744915492917	0.0017413443727776	0.00206460442811039	0.000232228862402822	0.000194007089574011	0.00019475519772807	0.000223679093792405
126	-0.0013775296303128	0.000230624746571908	0.00162374631577424	0.00214193725484758	0.000232170468049874	0.000194054239661494	0.000194717977083339	0.000223653098017659
127	-0.00127514216373671	0.000462768613185936	0.00165243705134587	0.00197966930088109	0.000232118481216551	0.000194083651243701	0.00019467515113299	0.000223663574974359
128	-0.0013429491395573	0.000513882981015638	0.00159016952830595	0.00172933740674856	0.000232069920373448	0.000194108434144501	0.000194646919720051	0.000223674219171475
129	-0.00138285554610492	0.000505940852712234	0.00149868107633857	0.00151121348019361	0.000232055387623019	0.000194132517373254	0.000194632020487172	0.000223654904143425
130	-0.00140995062324479	0.000581326889414244	0.00147031353715763	0.0014770833876699	0.000231994685582291	0.000194148956936132	0.000194622097268363	0.000223648841646428
131	-0.00144447367427712	0.000489230077251451	0.00149918948299219	0.00150838548219947	0.000231921186663125	0.000194169722841413	0.000194602660547652	0.000223626229212706
132	-0.00145933258700752	0.000377327673236796	0.00153973529708721	0.00150107845336556	0.000231852136810371	0.000194196771375996	0.000194593466742811	0.000223609316476303
133	-0.00137746155209365	0.000564400522848798	0.00175522344881934	0.00134246010671348	0.000231792919559931	0.0001942173721262	0.000194585392388978	0.000223593395128887
134	-0.00125929150969744	0.000574763183701257	0.00184658087708858	0.00132179606879573	0.000231750446716047	0.0001942358142061	0.000194588523726079	0.000223577241227722
135	-0.00118646774025892	0.000488588524619317	0.00189848082314337	0.00141331695021691	0.000231714625623006	0.000194255065635149	0.000194595955449117	0.000223574756212146
136	-0.00139725698027642	0.000486520755219131	0.00185352332629072	0.00158225546834285	0.000231696396851424	0.000194269786982629	0.000194586937074539	0.000223559563403161
137	-0.0015781739745019	0.000704937451405957	0.00196125559873107	0.00174900830556254	0.000231712844021423	0.000194278363807981	0.000194549520506272	0.00022352006790219
138	-0.00160159574829395	0.000681828410284403	0.00209824248892593	0.00173019470242337	0.000231726782576715	0.000194281241752069	0.00019452290533338	0.000223488744332147
139	-0.00169591298310802	0.000568983612251234	0.00218930854887834	0.00183128561365761	0.000231760135079025	0.000194289523393372	0.000194501089625523	0.000223427610343546
140	-0.00164574650163672	0.000519841551440585	0.00208597368145627	0.001860467874316	0.000231771484862157	0.000194303269388518	0.000194493033790572	0.000223407494173938
141	-0.00151819573424369	0.000450325183361464	0.00188219608866889	0.00185068088479564	0.000231813153475083	0.000194293955817222	0.000194492699093124	0.000223369992367038
142	-0.00140028060410232	0.000356752573725584	0.00159927960135772	0.00166518006830024	0.000231864299486511	0.000194268257140005	0.000194493273205387	0.000223335670500219
143	-0.00136043359240162	0.000405894684828833	0.00144020235449525	0.00147846172397922	0.00023190613492148	0.000194248269452631	0.000194473594079626	0.000223296955654165
144	-0.00138204470901575	0.000537124120177691	0.00151747417741121	0.00154694858103119	0.000231953688480451	0.000194259439664662	0.000194465881097914	0.000223255963933863
145	-0.00140838768774215	0.000756688155911211	0.00147025150099728	0.00150844245890761	0.000231994538045305	0.00019426388614298	0.000194481121647455	0.000223223989866131
146	-0.00137367907163449	0.000891824701134265	0.00152338837975977	0.00137893487652068	0.000232028598518096	0.000194266271205214	0.000194499585436036	0.0002231679956471
147	-0.00127618369055768	0.000927142953275203	0.00151429631422607	0.00140055659880461	0.000232064648988808	0.000194265836238736	0.000194518431367825	0.000223123532174788
148	-0.00110227054135855	0.000917129957028238	0.00148384983231565	0.00146939432324395	0.000232098523212441	0.000194262108210642	0.00019454584458341	0.000223105478089848
149	-0.00109637332859014	0.000827859048916003	0.00144780947333366	0.00138319440627391	0.000232111899973778	0.000194218449361376	0.000194571412457937	0.000223098309211662
150	-0.00119268669065752	0.000756632736337958	0.0014825215187245	0.00134010123209983	0.000232126019124422	0.000194188913369715	0.000194601930276687	0.000223097758617208
151	-0.00106026113817389	0.000740080729803338	0.0016886451595128	0.00131425285905467	0.000232124669178093	0.000194162250371868	0.000194619376741638	0.000223091235272082
152	-0.00107299366336171	0.000524525149273025	0.00174396057703996	0.00133281972958217	0.000232103207166545	0.000194154754190653	0.000194635395020572	0.000223093961463372
